Code;Name
Code;Name
643;OTROS PUERTOS DE DINAMARCA NO
644;AALBORG
645;ODENSE
651;OSLO
652;OTROS PUERTOS DE NORUEGA NO ES
653;STAVANGER
699;OTROS PUERTOS DE EUROPA NO ESP
711;DURBAM
712;CIUDAD DEL CABO
713;OTROS PUERTOS DE SUDAFRICA NO
714;SALDANHA
715;PORT-ELIZABETH
716;MOSSEL-BAY
717;EAST-LONDON
799;OTROS PUERTOS DE AFRICA NO ESP
811;SIDNEY
812;FREMANTLE
813;OTROS PUERTOS DE AUSTRALIA NO
814;ADELAIDA
815;DARWIN
816;GERALDTON
899;OTROS PUERTOS DE OCEANIA NO
900;RANCHO DE NAVES Y AERONAVES DE
901;ARICA
902;IQUIQUE
903;ANTOFAGASTA
904;COQUIMBO
905;VALPARAISO
906;SAN ANTONIO
907;TALCAHUANO
908;SAN VICENTE
909;LIRQUEN
910;PUERTO MONTT
911;CHACABUCO/PTO.AYSEN
912;PUNTA ARENAS
913;PATILLOS
914;TOCOPILLA
